Velocidade do vento (m/s);Potencia (MWh)
6,16;432,65
6,16;399,64
6,16;411,59
6,17;345,12
6,17;423,92
6,17;414,43
6,17;469,89
6,17;374,37
6,17;322,36
6,17;370,61
6,18;445,34
6,18;408,21
6,18;439,36
6,18;377,84
6,18;448,99
6,19;453,84
6,19;388,36
6,2;430,93
6,2;446,98
6,2;404,89
6,21;429,38
6,21;464,41
6,21;458,01
6,21;377,89
6,21;339,9
6,21;402,55
6,22;465,35
6,22;458,93
6,22;431,56
6,22;418,15
6,22;380,95
6,22;363,75
6,22;368,6
6,23;398,77
6,23;380,91
6,23;374,88
6,23;396,8
6,23;476,16
6,23;377,4
6,23;458,97
6,24;490,07
6,24;458,49
6,24;460,23
6,24;393,95
6,24;446,56
6,24;382,26
6,25;388,36
6,25;438,88
6,25;377,33
6,25;406,27
6,25;428,04
6,25;407,44
6,26;396,79
6,26;444,64
6,26;464,18
6,26;464,35
6,26;447,36
6,27;385,94
6,27;400,46
6,27;397,9
6,27;393,03
6,27;455,63
6,27;470,04
6,27;405,01
6,27;398,21
6,28;420,38
6,28;392,13
6,28;450,35
6,28;402,58
6,28;484,05
6,28;391,97
6,28;387,33
6,29;489,85
6,29;392,63
6,3;488,8
6,3;399,55
6,3;401,13
6,3;462,21
6,31;372,01
6,31;420,84
6,31;417,51
6,31;471,77
6,31;394,44
6,31;-4,08
6,31;479,12
6,31;404,77
6,31;449,3
6,32;510,15
6,32;483,06
6,32;448,4
6,32;418,3
6,32;510,8
6,32;369,19
6,33;-8,11
6,33;433,43
6,33;440,95
6,34;453,44
6,34;449,56
6,34;411,94
6,34;537,57
6,34;465,18
6,34;506,18
6,35;473,86
6,35;445,1
6,35;463,5
6,35;469,63
6,35;428,25
6,36;499,03
6,36;427,12
6,36;442,04
6,36;407,31
6,36;410,42
6,37;428,6
6,37;408,1
6,37;475,47
6,37;533,4
6,37;395,78
6,38;444,82
6,38;476,63
6,38;504,89
6,38;437,01
6,38;409,12
6,38;464,66
6,38;490,79
6,39;538,74
6,39;484
6,39;526,54
6,39;462,77
6,39;411,4
6,4;485,74
6,4;489,82
6,41;426,55
6,41;524,45
6,41;520,54
6,41;411,73
6,42;441,34
6,42;515,37
6,42;371,24
6,42;516,35
6,42;472,21
6,43;473,67
6,43;521,4
6,43;525,48
6,43;427,09
6,43;498,4
6,43;511,08
6,43;447,53
6,43;410,09
6,43;459,25
6,43;525,81
6,43;426,46
6,43;427,35
6,43;484,47
6,44;498,35
6,44;464,05
6,44;461,53
6,45;496,1
6,45;537,3
6,45;550,02
6,45;537,67
6,45;428,11
6,45;396,94
6,46;419,95
6,46;551,09
6,46;532,23
6,46;423,07
6,47;469,98
6,47;457,79
6,47;428,43
6,47;478,89
6,47;520,15
6,47;469,88
6,47;459,54
6,47;418,31
6,48;494,17
6,48;443,75
6,48;509,41
6,49;518,58
6,49;442,08
6,49;507,65
6,49;568,51
6,49;455,36
6,49;438,63
6,49;522,61
6,49;533,7
6,49;445,33
6,49;523,61
6,5;430,37
6,5;417,93
6,5;425,81
6,5;483,44
6,5;516,19
6,5;491,88
6,5;436,81
6,5;448,36
6,5;452,17
6,5;408,06
6,51;538,94
6,51;496,41
6,51;444,89
6,51;487,42
6,51;439,71
6,51;463,87
6,51;465,53
6,51;467,54
6,51;464,15
6,51;444,96
6,52;545,56
6,52;498,64
6,52;450,73
6,52;433,17
6,53;576,8
6,53;589,69
6,53;446,36
6,53;522,76
6,53;543,85
6,53;581,44
6,53;561,58
6,53;499,92
6,54;517,31
6,54;529,16
6,54;292,18
6,54;501,39
6,54;570,48
6,55;438,87
6,55;519,2
6,55;523,25
6,55;432,67
6,55;517,04
6,55;459,11
6,55;538,4
6,56;500,38
6,56;549,23
6,56;452,46
6,57;501,43
6,57;541,68
6,57;465,18
6,57;536,88
6,57;457,38
6,58;567,58
6,58;489,13
6,58;538,16
6,59;601,05
6,59;482,46
6,59;451,85
6,59;521,46
6,59;486,77
6,59;512,34
6,59;551,23
6,59;502,72
6,59;458,04
6,59;455,14
6,6;488,04
6,6;468,81
6,6;482,01
6,6;514,27
6,6;500,74
6,6;538,76
6,6;550,07
6,61;515,55
6,61;509,82
6,61;559,81
6,62;444,1
6,62;526,57
6,62;550,88
6,62;589,29
6,62;561,89
6,62;576,46
6,63;537,44
6,63;562,03
6,63;587,85
6,63;542,25
6,64;534,19
6,64;488,69
6,64;490,34
6,64;471,91
6,64;485,57
6,64;594,47
6,64;568,76
6,65;488,23
6,65;488,14
6,65;474,07
6,65;507,88
6,66;473,67
6,66;486,01
6,66;524,21
6,66;539,97
6,66;526,19
6,66;561,83
6,67;441,05
6,67;499,74
6,67;507,6
6,67;565,49
6,67;503,78
6,68;510,34
6,68;614,79
6,68;540,62
6,68;540
6,68;553,03
6,68;573,85
6,69;539,16
6,69;483,2
6,69;489,79
6,69;574,11
6,69;565,33
6,69;491,88
6,7;552,56
6,7;476,57
6,7;538,48
6,7;493,79
6,7;590,1
6,7;510,2
6,7;474,86
6,71;599,62
6,71;502,56
6,71;502,96
6,71;506,67
6,72;500,18
6,72;495,77
6,72;611,91
6,72;485,36
6,73;593,46
6,73;604,3
6,73;595,44
6,73;635,34
6,73;580,15
6,73;464,52
6,74;528,75
6,74;586,24
6,74;575,43
6,74;531,08
6,74;491,98
6,75;600,93
6,75;525,45
6,75;513,41
6,76;641,79
6,76;529,97
6,76;606,39
6,76;507,19
6,76;529,94
6,76;526,08
6,76;513,65
6,76;519,14
6,76;542,25
6,77;529,77
6,77;509,97
6,77;605,49
6,77;499,67
6,78;544,74
6,78;585,49
6,78;557,3
6,78;514,34
6,78;582,09
6,78;568,23
6,78;571,07
6,79;616,98
6,79;555,62
6,79;604,02
6,79;644,37
6,8;520,55
6,8;495,76
6,8;596,05
6,8;591,81
6,8;527,76
6,8;529,62
6,8;605,62
6,8;539,03
6,81;674,15
6,81;627,19
6,81;532,46
6,81;513,11
6,81;574,21
6,81;637,26
6,81;585,41
6,81;553,64
6,81;524,08
6,81;616,51
6,81;547,19
6,81;622,84
6,82;533,26
6,82;600,31
6,82;594,87
6,82;531,87
6,83;527,17
6,83;530,8
6,83;541,48
6,83;555,02
6,83;-4,08
6,83;536,48
6,84;604,18
6,84;589,62
6,84;521,64
6,84;523,97
6,84;565,36
6,84;604,38
6,84;572,94
6,85;507,35
6,85;528,68
6,85;658,85
6,85;628
6,85;628,93
6,86;633,13
6,86;-4,08
6,86;-4,08
6,86;655,71
6,86;561,73
6,87;605,02
6,87;507,94
6,87;540,82
6,87;682,38
6,87;596,86
6,87;629,59
6,87;549,53
6,88;598,29
6,88;640,29
6,88;693,08
6,88;651,73
6,88;601,83
6,88;608,86
6,89;579,96
6,89;674,68
6,89;526,88
6,89;548,65
6,89;641,6
6,9;641,2
6,9;577,14
6,9;620,44
6,9;598,13
6,9;656,4
6,9;600,05
6,9;525,01
6,9;535,2
6,91;564,85
6,91;602,46
6,91;557,84
6,91;594,09
6,91;615,77
6,92;665,11
6,92;133,97
6,92;581,71
6,92;615,48
6,92;638,24
6,92;576,39
6,93;577,45
6,93;556,74
6,93;596,57
6,93;553,37
6,93;574,57
6,93;668,62
6,93;657,65
6,94;614,02
6,94;559,61
6,94;563,73
6,94;558,7
6,94;556,52
6,94;627,47
6,95;640,23
6,95;640,57
6,95;554,99
6,95;622,59
6,96;649,16
6,96;620,03
6,96;582,02
6,96;649,39
6,96;652,35
6,97;662,57
6,97;574,07
6,97;591,01
6,97;671,56
6,98;551,27
6,98;562,69
6,98;684,79
6,98;670,74
6,98;584,24
6,98;617,37
6,98;657,82
6,98;657,94
6,98;591,66
6,98;682,59
6,98;576,13
6,98;545,36
6,99;607,86
6,99;587,1
7;579,58
7;647,64
7;659,91
7,01;596,81
7,01;616,31
7,01;714,58
7,01;661,43
7,01;676,31
7,01;556,71
7,01;675,23
7,02;648,12
7,02;628,39
7,02;615,96
7,02;578,45
7,03;621,59
7,03;715,48
7,03;613,67
7,04;633,52
7,04;596,49
7,04;589,42
7,04;610,84
7,04;602,58
7,04;668,89
7,04;720,37
7,04;626,74
7,05;688,33
7,05;597,19
7,05;612,42
7,05;607,02
7,05;597,64
7,05;675,75
7,06;592,02
7,06;649,23
7,06;583,06
7,06;671,81
7,06;648,57
7,07;646,92
7,07;686,37
7,07;597,19
7,07;592,64
7,07;640,12
7,07;583,59
7,07;690,48
7,07;678,26
7,07;658,46
7,08;643,26
7,08;590,08
7,08;676,02
7,09;761,9
7,09;612,71
7,09;596,15
7,09;612,32
7,09;622,87
7,1;681,21
7,1;594,99
7,1;593,74
7,1;638,34
7,11;620,43
7,11;633,92
7,11;675,16
7,11;688,49
7,11;674,22
7,12;575,28
7,12;599,62
7,12;695,03
7,12;693,11
7,12;597,23
7,13;637,78
7,13;621,93
7,13;614,29
7,13;636,05
7,13;649,43
7,14;623,58
7,14;761,63
7,15;671,3
7,15;672,64
7,15;707,57
7,15;735,05
7,15;591,32
7,16;693,47
7,16;731,5
7,16;680,17
7,16;608,57
7,16;641,95
7,17;644,12
7,17;725,78
7,17;683,63
7,17;575,32
7,18;673,83
7,18;628,8
7,18;762,05
7,18;630,35
7,18;703,9
7,19;708,95
7,19;658,43
7,19;602,51
7,2;653,55
7,2;659,17
7,2;652,02
7,2;657,22
7,2;719,24
7,2;629,88
7,21;679,06
7,21;771,87
7,21;639,37
7,21;625,57
7,21;605,11
7,22;630,82
7,22;653,58
7,22;734,03
7,22;747,92
7,22;704,96
7,22;695,81
7,23;641,29
7,23;656,17
7,23;646,41
7,24;680,59
7,24;675,77
7,24;633,69
7,24;755,6
7,25;759,71
7,25;677,01
7,25;626,79
7,25;693,35
7,25;778,34
7,25;653,03
7,25;705,07
7,25;708,57
7,26;744,78
7,26;789,84
7,27;707,4
7,27;643,97
7,27;646,77
7,27;649,13
7,27;710,9
7,27;643,4
7,27;653,08
7,28;762,77
7,28;666,97
7,28;662,24
7,28;677,51
7,28;704,96
7,28;654,79
7,28;670,54
7,29;757,59
7,29;683,54
7,29;714,98
7,29;738,04
7,29;664,36
7,3;687,18
7,3;766,62
7,3;644,52
7,31;649,05
7,31;679,19
7,31;688,39
7,32;636,04
7,32;757,66
7,32;756,1
7,32;651,03
7,32;660,03
7,32;634,7
7,33;737,11
7,33;647,95
7,33;738,35
7,34;724,66
7,34;693,52
7,34;749,84
7,35;750,03
7,35;791,08
7,35;706,12
7,35;669,71
7,35;738,32
7,36;737,61
7,36;658,39
7,36;676,79
7,36;691,81
7,37;761,81
7,37;688,97
7,37;662,37
7,38;694,23
7,38;683,07
7,38;741,24
7,38;793,9
7,39;718,97
7,39;800,43
7,39;709,46
7,39;755,07
7,39;686,41
7,39;692,1
7,4;822,66
7,4;683,35
7,4;690,32
7,41;753,38
7,41;809,63
7,41;751,3
7,41;812,98
7,42;839,2
7,42;694,08
7,42;734,85
7,42;659,06
7,43;716,7
7,43;793,04
7,44;833,54
7,44;668,86
7,45;773,44
7,45;806,38
7,46;815,51
7,46;829,33
7,46;696,97
7,47;716,87
7,47;683,39
7,47;733,1
7,48;721,78
7,48;716,18
7,48;712,79
7,48;710,84
7,48;802,18
7,48;691,87
7,49;824,31
7,49;769,16
7,49;738,58
7,49;785,41
7,5;721,79
7,5;861,72
7,5;721,78
7,5;740,25
7,51;768,34
7,51;706,47
7,51;798,33
7,51;762,3
7,51;746,85
7,51;763,76
7,52;855,51
7,52;820,32
7,52;704,28
7,52;782,23
7,52;712,5
7,53;846,96
7,53;839,82
7,54;866,2
7,54;753,34
7,55;826,2
7,55;870,58
7,55;738,17
7,55;729,69
7,55;740,17
7,55;812,02
7,56;685,85
7,56;886,09
7,56;831,12
7,56;724,29
7,56;702,14
7,56;806,2
7,57;722,84
7,57;758,05
7,57;813,12
7,57;749,45
7,58;734,67
7,58;745,29
7,58;766,51
7,58;750,72
7,58;792,58
7,59;791,75
7,59;759,81
7,59;772,6
7,59;777,52
7,59;746,13
7,59;740,15
7,59;764,88
7,6;788,48
7,6;763,48
7,6;728,11
7,61;848,16
7,61;749,67
7,61;793,21
7,61;740,08
7,61;732,71
7,61;725,27
7,61;736,31
7,61;764,38
7,61;796,44
7,61;734,73
7,61;817,71
7,61;803,73
7,62;723,46
7,62;718,2
7,62;759,17
7,62;836,56
7,63;734,58
7,64;806,68
7,64;797,24
7,64;766,06
7,64;739,64
7,65;770,69
7,65;852,73
7,65;843,81
7,65;734,16
7,66;766,85
7,66;758,13
7,66;756,5
7,66;900,99
7,66;857,62
7,67;756,11
7,67;768,77
7,67;801,99
7,68;800,88
7,68;875,23
7,69;867,87
7,69;883,28
7,69;779,26
7,69;905,96
7,7;756,1
7,7;881,58
7,7;862,8
7,7;803,82
7,7;925,96
7,7;754,81
7,7;842,99
7,71;874,29
7,71;894,5
7,71;811,06
7,71;826,88
7,71;865,88
7,71;776,77
7,72;824,03
7,72;844,46
7,73;773,08
7,73;804,47
7,73;767,19
7,73;833,24
7,73;858,32
7,73;760,82
7,74;793,2
7,74;846,44
7,74;764,19
7,74;820,16
7,74;849,4
7,74;779,07
7,75;782,18
7,75;782,32
7,75;822,15
7,75;873,59
7,75;830,66
7,76;853,26
7,76;916,6
7,76;821,35
7,77;807,33
7,77;794,49
7,77;807,36
7,77;802,89
7,78;946,06
7,78;809,48
7,78;854,67
7,79;749,07
7,79;899,38
7,79;744,85
7,79;830,01
7,79;835,37
7,8;878,68
7,8;830,54
7,8;783,88
7,8;824,42
7,8;933,11
7,81;844,58
7,81;823,57
7,81;844,1
7,83;891,99
7,83;833,3
7,83;868,95
7,83;826,4
7,83;862,37
7,84;850,79
7,84;921,58
7,84;871,57
7,84;910,66
7,85;949,59
7,85;837,98
7,85;847,17
7,85;849,86
7,85;957,4
7,86;934,34
7,86;872,47
7,86;850,09
7,87;853,61
7,87;875,07
7,87;880,2
7,88;882,04
7,88;832,03
7,88;830,32
7,88;852,32
7,89;821,03
7,89;864,18
7,89;816,4
7,89;911,35
7,9;885,82
7,9;885,15
7,9;866,29
7,9;881,22
7,9;836,01
7,91;943,3
7,91;856,33
7,91;942,38
7,91;934,31
7,92;910,74
7,92;838,68
7,92;837,84
7,93;950,13
7,93;844,96
7,93;633,14
7,94;870,92
7,94;883,08
7,94;909,22
7,94;844,39
7,94;871,18
7,94;849,1
7,94;832,62
7,95;844,22
7,95;880,14
7,95;911,92
7,95;1004,22
7,95;937,27
7,96;850,03
7,96;896,32
7,96;835,7
7,97;923,45
7,97;970,42
7,97;846,89
7,97;960,37
7,97;990,64
7,98;857,91
7,98;906,64
7,98;859,81
7,98;871,33
7,99;846,11
8;877,75
8;907,59
8;973,12
8;879,67
8;853,67
8;949,69
8,02;958,04
8,02;890,96
8,02;882,04
8,02;914,03
8,03;871,16
8,03;1007,4
8,03;952,06
8,03;868,49
8,03;891,57
8,04;1034,62
8,04;955,98
8,04;868,93
8,04;893,25
8,04;929,26
8,04;886,68
8,05;901,08
8,06;933,35
8,06;883,25
8,06;930,2
8,06;891,11
8,06;889,72
8,06;897,94
8,06;875,55
8,06;934,52
8,07;941,42
8,07;898,93
8,07;885,89
8,08;885,46
8,08;891,87
8,08;999,36
8,08;912,66
8,08;898,01
8,08;846,73
8,09;896,83
8,1;887,41
8,1;875,99
8,1;936,06
8,1;878,12
8,11;1052,12
8,11;926,15
8,11;912,79
8,12;921,22
8,12;899,92
8,12;914,14
8,12;938,34
8,12;1041,64
8,12;1029,2
8,12;918,75
8,13;902,19
8,13;923,12
8,14;938,09
8,15;1014,81
8,15;990,59
8,15;936,83
8,15;937,92
8,16;943,42
8,16;998,39
8,16;930,92
8,16;916,21
8,17;905,31
8,17;906,74
8,17;896,42
8,17;932,33
8,18;906,46
8,18;1000,67
8,18;916,08
8,18;940,26
8,18;974,8
8,19;969,97
8,19;1032,19
8,19;945,91
8,2;966,83
8,2;936,73
8,2;1040,74
8,2;947,96
8,2;968,4
8,21;1001,49
8,21;981,93
8,21;1056,82
8,21;946,05
8,21;913,47
8,21;939,97
8,22;1062,81
8,22;914,61
8,22;930,14
8,22;967,69
8,22;1035,71
8,22;956,25
8,22;1001,42
8,23;945,95
8,23;935,79
8,23;955,41
8,23;940,56
8,23;942,73
8,24;957,29
8,24;944,7
8,24;968,08
8,24;946,71
8,25;960,36
8,25;956,32
8,25;964,98
8,25;974,85
8,25;965,24
8,26;984,58
8,26;939,13
8,27;982,1
8,27;953,94
8,27;933,84
8,27;981,17
8,28;958,32
8,28;987,36
8,29;1048,82
8,29;963,36
8,3;934,07
8,31;992,04
8,32;1056,4
8,32;961,33
8,32;1036,52
8,32;1018,01
8,32;1102,64
8,33;1001,94
8,34;1000,78
8,34;1010,8
8,34;975,1
8,34;995,33
8,34;1004,48
8,35;1004,85
8,35;979,04
8,35;1052,29
8,36;1011,96
8,36;977,2
8,37;994,96
8,37;1012,69
8,37;989,2
8,38;981,96
8,39;1044,18
8,39;1065,23
8,39;985,27
8,39;1022,47
8,39;1051,49
8,4;1007,27
8,41;1047,78
8,41;1000,62
8,41;1069,01
8,41;1116
8,42;990,51
8,42;959,82
8,42;1001,89
8,42;1185,54
8,42;1027,58
8,43;999,74
8,43;981,82
8,43;1029,05
8,44;1003,59
8,44;1083,4
8,45;1002,94
8,45;1012,74
8,46;1066,64
8,46;1005,74
8,46;1040,02
8,47;1001,45
8,48;985,78
8,48;1153,49
8,49;1044,86
8,49;975,56
8,49;1052,19
8,49;1052,55
8,5;1077,36
8,5;1006,1
8,5;1070,69
8,5;1046,45
8,5;1040,72
8,51;1032,34
8,51;1055,85
8,51;1060,8
8,51;1096,43
8,51;1060,11
8,51;1030,15
8,51;1007,54
8,52;1039,62
8,52;1036,64
8,52;1060,13
8,53;1137,91
8,53;999,99
8,53;1166,57
8,53;1044,54
8,53;1003,57
8,54;982,1
8,54;1093,33
8,54;1023,15
8,55;1127,7
8,55;1073,54
8,55;1064,03
8,55;1069,18
8,55;1069,69
8,55;1101,29
8,56;1076,56
8,56;1049,17
8,56;1078,75
8,57;1025
8,57;1068,11
8,57;1068,52
8,57;1064,42
8,57;1082,28
8,58;1087,9
8,58;1126,26
8,59;1114,03
8,6;1102,33
8,6;1094,03
8,6;1035,89
8,61;1107,21
8,61;1095,51
8,61;1069,72
8,61;1088,14
8,61;1053,18
8,61;1095,09
8,62;1055,87
8,62;1103,18
8,63;1006,91
8,63;1176,67
8,63;1080,75
8,63;1077,56
8,64;1058,23
8,64;1135,53
8,65;1170,96
8,65;1099,49
8,65;1172,19
8,66;1101,84
8,66;1129,86
8,66;1100,59
8,66;1058,4
8,66;1123,62
8,67;1070,78
8,67;1095,43
8,67;1134,41
8,68;1106,92
8,68;1087,2
8,68;1182,41
8,68;1112,83
8,68;1121,21
8,69;1083,99
8,69;1100,59
8,69;1113,07
8,7;1131,01
8,7;1234,8
8,7;1106,49
8,7;1100,1
8,71;1121,87
8,71;1079,85
8,72;1120,4
8,73;1140,45
8,73;1177,97
8,74;1109,39
8,74;1107,87
8,75;1107,5
8,75;1139,27
8,75;1099,38
8,76;1186,61
8,77;1098,51
8,77;1176,84
8,78;1138,7
8,78;1108,2
8,78;1098,9
8,78;1093,7
8,79;1151,75
8,79;1126,09
8,79;1136,06
8,8;1191,38
8,81;1148,79
8,81;1126,43
8,81;1179,68
8,81;1177,33
8,81;1170,71
8,81;1135,34
8,82;1102,86
8,82;1155,64
8,82;1219,66
8,83;1196,5
8,83;1206,24
8,83;1169,85
8,83;1146,7
8,83;1172,94
8,84;1142,64
8,84;1132,6
8,84;1163,61
8,85;1209,73
8,85;1171,25
8,85;1164,72
8,85;1171,26
8,85;1169,44
8,86;1191,25
8,86;1184,61
8,87;1127,88
8,87;1174,24
8,87;1202,35
8,88;1144,5
8,89;1184,02
8,89;1273,23
8,89;1147,07
8,89;1159,5
8,89;1173,08
8,89;1180,83
8,9;1165,43
8,9;1158,53
8,91;1202,62
8,91;1222,22
8,91;1170,51
8,92;1200,39
8,92;1152,87
8,93;1123,93
8,93;1192,5
8,93;1257,99
8,94;1176
8,95;1157,74
8,95;1171,83
8,95;1263,84
8,95;1201,34
8,95;1210,68
8,96;1170,96
8,97;1215,36
8,97;1203,1
8,98;1176,83
8,98;1208,51
8,99;1202,29
8,99;1200,18
8,99;1221,3
9,01;1189,88
9,01;1260,2
9,01;1195,3
9,02;1217,8
9,02;1245,47
9,02;1240,63
9,04;1232,66
9,04;1311,61
9,04;1296,37
9,04;1213,57
9,04;1217,59
9,04;1222,65
9,04;1313,6
9,06;1246,95
9,07;1272,41
9,07;1301,93
9,07;1258,45
9,07;1243,53
9,07;1215,33
9,08;1202,37
9,08;1290,19
9,08;1206,76
9,09;1230,14
9,09;1219,93
9,09;1229,1
9,1;1256,17
9,11;1238,5
9,11;1317,13
9,11;1268,46
9,11;1301,42
9,11;1208,32
9,12;1224,91
9,12;1213,44
9,13;1351,42
9,13;1281,61
9,13;1261,97
9,14;1200,25
9,14;1317,44
9,15;1244,85
9,15;1289,83
9,15;1208,36
9,15;1244,53
9,15;1329,04
9,16;1232,87
9,16;1287,04
9,18;1249,76
9,18;1279,21
9,19;1242,28
9,19;1288,58
9,19;1254,68
9,19;1349,15
9,19;1259,04
9,2;1294,63
9,21;1248,73
9,21;1236,86
9,22;1266,57
9,22;1252,54
9,24;1280,88
9,25;1310,62
9,25;1306,34
9,26;1292,11
9,27;1307,4
9,27;1283,37
9,27;1377,27
9,28;1338,79
9,28;1300,72
9,29;1288,6
9,3;1310,61
9,31;1247,43
9,33;1296,23
9,33;1292,9
9,34;1277,83
9,34;1274,98
9,35;1313,6
9,35;1309,22
9,36;1302,63
9,39;1356,42
9,41;1332,58
9,42;1299,52
9,42;1337,46
9,42;1318,92
9,43;1344,25
9,43;1344,94
9,43;1379,26
9,44;1428,24
9,45;1356,25
9,46;1355,23
9,47;1362,96
9,47;1356,57
9,47;1364,19
9,47;1423,26
9,49;1375,24
9,5;1312,58
9,5;1368,49
9,5;1398,71
9,5;1341,32
9,5;1373,86
9,51;1385,92
9,51;1458,4
9,52;1380,15
9,53;1344,28
9,53;1354,17
9,54;1341,2
9,54;1396,12
9,55;1451,14
9,55;1379,01
9,55;1441,89
9,56;1402,95
9,56;1349,75
9,57;1358,49
9,58;1355,83
9,58;1385,48
9,6;1454,81
9,61;1427,14
9,62;1386,06
9,62;1410,15
9,62;1446,57
9,62;1465,72
9,62;1414,33
9,63;1356,5
9,63;1409,21
9,65;1427,85
9,66;1385,49
9,68;1472,28
9,69;1421,96
9,69;1396,51
9,7;1403,77
9,71;1476,33
9,72;1499,91
9,74;1450,19
9,75;1418,43
9,76;1479,16
9,76;1460,54
9,76;1409,4
9,76;1438,09
9,77;1437,8
9,78;1477,47
9,78;1536,23
9,78;1489,79
9,82;1515,46
9,82;1469,8
9,82;1496,63
9,83;1540,07
9,83;1445,28
9,83;1541,59
9,84;1443,55
9,85;1517,83
9,86;1560,27
9,86;1433,24
9,86;1482,52
9,87;1462,85
9,88;1428,76
9,91;1494,61
9,91;1504,65
9,91;1446,57
9,92;1534,47
9,96;1523,89
9,96;1533,79
9,96;1476,46
9,97;1503,14
9,97;1486,04
9,98;1500,98
9,98;1517,23
9,99;1529,41
9,99;1507,98
9,99;1496,04
10,01;1501,58
10,02;1530,17
10,03;1553,28
10,04;1530,41
10,06;1544,44
10,08;1539,68
10,08;1565,54
10,08;1540,83
10,11;1629,79
10,12;1597,53
10,13;1566,62
10,14;1535,96
10,16;1539,03
10,16;1563,54
10,16;1552,82
10,17;1528,35
10,17;1592,27
10,19;1573,87
10,21;1620,45
10,22;1589,56
10,22;1552,53
10,23;1573,09
10,23;1582,52
10,23;1570,3
10,23;1597,95
10,24;1618,02
10,27;1554,13
10,27;1597,05
10,28;1615,63
10,28;1623,05
10,3;1592,54
10,33;1598,97
10,35;1378,68
10,35;1588,96
10,36;1615,45
10,36;1612,54
10,37;1640,58
10,37;1614,8
10,37;1633,59
10,38;1634,14
10,38;1634,39
10,38;1633,98
10,39;1619,97
10,4;1614,31
10,4;1619,92
10,41;1618,01
10,41;1639,64
10,44;1651,91
10,44;1585,51
10,45;1628,76
10,45;1623,37
10,46;1615,86
10,46;1577,24
10,49;1641,22
10,49;1586,25
10,5;1660,48
10,51;1671,29
10,52;1634,59
10,56;1668,8
10,56;1680,66
10,56;1651,65
10,57;1637,83
10,58;1668,35
10,58;1669,23
10,6;1663,78
10,62;1705,56
10,63;1668,38
10,66;1681,31
10,66;1710,97
10,67;1681,91
10,69;1652,03
10,69;1661,89
10,7;1663,84
10,7;1650,95
10,71;1690,45
10,71;1692,91
10,72;1680,66
10,74;1684,75
10,74;1691,62
10,76;1664,45
10,79;1682,97
10,84;1697,32
10,85;1701,23
10,85;1709,4
10,89;1686,85
10,89;1692,34
10,89;1697,6
10,9;1715,25
10,93;1678,46
10,93;1720,85
10,93;1689,38
10,99;1712,31
11,07;1690,94
11,09;1711,12
11,2;1699,36
11,22;1674,07
11,37;1703,56
11,38;1720,63
11,45;1682,23
11,53;1679,21
11,57;1722,54
11,61;1720,63
11,64;1721,32
11,64;1716,52
11,66;1722,76
11,69;1692,5
11,97;1722,12
12,34;1722,64
12,49;1720,22
12,81;1706,61
12,97;1722,48
13,44;1722,4
13,53;1721,52
15,29;1722,67
15,88;1722,58